Date,STDAlbedo,STDAlgae,STDDust,STDGrain,meanAlbedo,meanAlgae,meanDensity,meanDust,meanGrain,DOY,STDDensity
2016-06-01,0.14183580552568606,21512.190387127826,27113.68476338567,4495.651014239647,0.574692287411996,6320.925760083464,682.1373184575453,13517.10291334378,8754.228857166036,153,161.61965193234775
2016-06-04,0.13251498847377233,10991.763575396963,26291.091164989986,2898.47212710164,0.7089717108699974,4065.0006784230077,714.2058409519364,12521.405102805977,6673.700880248487,156,127.17857099645676
2016-06-07,0.1298789141798912,12073.445556485523,31661.35813011556,2473.5177273297018,0.8076822323285704,966.5066676831759,780.9450590656284,14879.844715723899,2992.706997554974,159,96.57619986525575
2016-06-10,0.1435197582656299,9524.56809745369,27828.091413868184,3758.611657329179,0.6748789268246409,706.1860131469855,800.1695671042572,18469.96427067595,4649.265476609733,162,87.09887144085582
2016-06-13,0.1631836036850586,8916.245884507076,30636.65870976069,5253.364385686303,0.5617896119842052,819.677555328306,776.5324478399473,23840.931514092263,7955.656267568238,165,120.64452448993457
2016-06-16,0.16069531493301248,12011.246681202852,39637.71149532889,4789.042067232512,0.5684198137839201,1501.7570468907993,738.4268023776925,30983.89665035425,7317.125805140944,168,135.6066731638151
2016-06-19,0.12698814130017097,9100.668634085818,35656.92023558203,3119.635968874448,0.6774307161646334,1089.2322593472,763.7480619279311,25403.32301755011,3851.0166567228516,171,104.64631994866868
2016-06-22,0.14026367747648405,10544.424234244532,35862.69540880356,3484.842779984484,0.6653749725148252,1431.8686727369998,768.2685685002843,28771.798729333248,4336.45402998568,174,129.23867904822558
2016-06-25,0.12215107830376455,7682.314324886618,31544.33001617773,4086.7375169145407,0.5254748792514576,803.5468702719655,726.3017583664566,25929.14242194065,8141.823787869558,177,126.64976570006738
2016-06-28,0.12171036622666744,6994.996868666172,32136.351383055153,3602.365864305736,0.5612006319154985,1035.3900760073934,725.0968618204142,25480.26532670834,7268.6075286590785,180,130.73588897076274
2016-07-01,0.13642490633887966,9305.853163341326,39465.564586882,4053.350068510211,0.5799485230158093,1640.1062867887256,731.5822915865241,32922.36131397839,6951.352011065166,183,153.3925636417492
2016-07-04,0.15266027206620378,12649.971744768505,47879.11681461939,4496.243055605072,0.5951049836759881,2381.4054457442817,736.7006530918505,40944.10581876035,6970.31883188996,186,182.23836482731593
2016-07-07,0.13871205635095704,13495.024142142982,36917.32549757161,4241.91750761826,0.5606793655730877,2487.789255406598,724.1472331625689,22365.370928102533,6802.848864267416,189,149.39226359473096
2016-07-10,0.13625434148652135,14693.671408905726,34000.812229017916,4236.210620384933,0.5260246522560396,2867.6080342371183,717.3847135248885,19529.6095111116,8409.359852943295,192,151.78128018919526
2016-07-13,0.12632255901931455,14463.231952654713,29176.025208609703,4212.050280611076,0.5017945380787342,3094.80646238825,712.0421611789093,15428.063225560454,8365.257899533688,195,147.1891815170432
2016-07-16,0.12706679966302234,16815.94549562928,28559.183748397365,4595.093149281095,0.5040980206547782,3901.689645147371,717.3563001793016,14902.934453590915,8315.703159526553,198,155.1169244085031
2016-07-19,0.1359843095207255,19602.406577354515,35798.77492540514,4773.546748729792,0.5083898208817502,4902.287279223359,723.953180126128,18590.600981934025,8720.413636105655,201,178.89345870358395
2016-07-22,0.12215787295225343,22566.18385373694,15685.835544686346,3698.859763893168,0.4042116528423447,6462.583938171107,637.6728715983285,6661.512390793641,12040.860424824743,204,181.0683383954725
2016-07-25,0.12172220025283222,23482.889697053957,13309.564505875216,3671.2649140533695,0.39420635567079554,7350.8082138553045,637.9975863807643,6944.633131529857,12292.6041977921,207,176.60757529517272
2016-07-28,0.1223744906058924,20918.384721602677,21974.284699725948,3752.7198136026905,0.42421261289492074,6834.248097774075,656.1422876700806,14100.175649273475,11248.199849747192,210,162.10020410511726
2016-07-31,0.12638604964025604,23890.698832872105,27252.25436063266,4068.1438097665327,0.41555331931050593,7818.273318973239,652.7966817835421,17398.67541826055,11631.612242806641,213,176.209823749657
2016-08-03,0.13180979910815543,25950.062783612615,32662.620121966633,4313.233373287217,0.424214545326116,8565.52025345749,653.1474001451521,21405.737780820138,11255.263391033732,216,185.28764529308597
2016-08-06,0.140082981775493,24288.398047813338,31359.988288278393,4730.493364329648,0.454509865959199,7649.839766992224,660.3782815050358,22967.35502149816,9972.881505160969,219,183.03260208933855
2016-08-09,0.12704919377230894,19390.045530577096,34305.55383368771,4280.869528976167,0.45547557656933807,5865.640717364815,670.8705791407094,28309.566945544095,10090.152442343051,222,173.6890841793339
2016-08-12,0.13207314014213406,22755.519784503802,27264.62074552261,4264.427049577178,0.4339652450665639,7259.22102114313,651.0810436883992,15284.39719232032,10837.283832700976,225,176.71664389313813
2016-08-15,0.13668608926589368,24590.052932732888,25150.298461854873,4395.2211075125615,0.4387737932628764,8166.451186077518,642.892451895739,13112.826428250928,10314.193434827288,228,176.830555797901
2016-08-18,0.128636339716076,20052.28619840138,21975.21782624747,4031.594991103785,0.4531052641766453,6215.937763176006,662.3062489895121,12075.363191011555,9919.145192576554,231,157.95807215130483
2016-08-21,0.13575162817010059,16528.722745688796,23450.33711388805,4410.4094161122675,0.4531480500384807,4935.582231185123,668.3619476401916,16510.288877129624,10008.268559399407,234,166.63064888367222
2016-08-24,0.14549944783850827,17400.193186624107,26694.731948910496,4665.474658665134,0.44104413024420086,5109.8398827885385,659.6226083107633,26590.18316446757,10678.615405096778,237,174.85056188797955
