,Date,STDAlbedo,STDAlgae,STDDensity,STDDust,STDGrain,meanAlbedo,meanAlgae,meanDensity,meanDust,meanGrain,DOY
0,2016-06-01,0.1460479751935621,24478.074082770654,333.6541293125172,45847.769665377855,7266.676532372591,0.1986579171993546,10273.700140150522,422.09029595546167,35511.50917096552,21216.243016829256,153
1,2016-06-04,0.1480034866047129,23864.08204410857,337.94393137189144,44623.137874608656,7086.175044040237,0.1967050124859969,10026.981613674165,419.8807585050958,34454.70819277077,20817.77775514928,156
2,2016-06-07,0.1240179709807226,14293.106439111567,120.24495982351702,40710.473985182565,2679.2171427543985,0.7549570495895418,1409.4101642381922,763.7500101833583,25069.33325753545,2736.5845827545677,159
3,2016-06-10,0.14647748814648326,8839.269232628449,98.62547278124036,26990.60130527272,4705.958772857764,0.5638208491117863,805.1095046562932,792.1604957985634,20962.813216239105,7153.4340457155895,162
4,2016-06-13,0.1775548344707602,11975.028102331411,138.76944596414592,34751.462587740236,5523.446888589259,0.5736193056321662,1293.3308399821976,820.0801673096672,32216.617798216026,7349.894560456241,165
5,2016-06-16,0.13203782270210654,11504.617446208069,156.83370557715705,41884.14717209734,4652.315270266005,0.5103599100199697,1572.1589882309968,705.7445415347917,38555.62418990744,8250.718493240553,168
6,2016-06-19,0.12730208064478565,10821.269436592876,135.35343218405194,39044.4386717244,3202.4513956640203,0.6162697245658912,1935.8101555380385,720.665064422722,34432.123085286206,4303.027236244377,171
7,2016-06-22,0.15879568923388265,14665.833336112086,177.3787999041274,48185.444546392646,3516.9193093418376,0.6752361849866227,2737.3509818410807,739.9750534893457,48459.68928664939,3357.0870746088285,174
8,2016-06-25,0.10197239484394788,8927.996782601462,140.96236979240527,32551.31543940457,4047.458915458688,0.4600446391548817,1149.3187011759242,668.9232329282078,29643.337593867687,10218.123654008441,177
9,2016-06-28,0.11623592359291593,10626.71307557179,165.69231058538568,40674.04593940788,4834.453256697973,0.4658815317242774,1813.4678725461715,677.0719758362231,37614.31282860832,10217.414431116744,180
10,2016-07-01,0.13342367846757275,13094.1259851255,197.15508350607044,49117.222040995686,5508.8300755459995,0.4717358741902277,2602.537998887827,685.0983805048488,46152.30510982245,10361.202432162136,183
11,2016-07-04,0.15173024808989705,15907.654809905818,232.585395126239,57888.060187759,6054.291416742398,0.4778374104327142,3416.454585456749,693.1247851734744,54837.88133177655,10672.378916999927,186
12,2016-07-07,0.09951650712589467,11686.276321854673,151.5441619401392,25171.191287002774,3903.097181900821,0.4481312369248705,3053.1832557308535,647.1423648643728,11593.700736978213,9947.504068110016,189
13,2016-07-10,0.10367929934012267,12368.731505793045,157.32770897084313,28469.830085165126,4239.279654288803,0.4604042735053714,3177.0473053558417,655.6038056266543,13127.748888093369,9481.118409917983,192
14,2016-07-13,0.10834709731982416,13402.527307530381,164.8715654538741,31782.482803934254,4542.056667016955,0.4727150303920231,3731.690987257688,664.0652463889359,14668.77400561079,9039.501219411128,195
15,2016-07-16,0.11340593596313707,14749.711182893447,173.94685473939904,35106.27017715714,4781.879365058857,0.4850723470213872,4445.146107484121,672.5266871512176,16212.431835572588,8646.382067106384,198
16,2016-07-19,0.11884627020671465,16335.651899104687,184.3275170601764,38438.64915544721,4967.888606314849,0.4974603997690397,5244.594340906346,680.9881279134992,17757.288372530293,8308.638711370135,201
17,2016-07-22,0.12464098806800768,18101.610305545404,195.80604921894317,41776.5792118528,5117.78317335362,0.5098642246170093,6084.64681151344,689.4495686757809,19305.186758076048,8025.7373765964185,204
18,2016-07-25,0.09585125195159072,18976.767520620262,171.90757047658118,5808.545623133493,2534.442764304832,0.3580838829077876,8188.875100983591,585.0427022672974,1077.0383761039052,13368.098655097856,207
19,2016-07-28,0.09494067169757058,18717.39831282147,171.62814910471366,11907.43170881953,2682.105899462199,0.3633685979397671,7779.871230621722,585.2106061700745,4300.184344891078,13195.363384895338,210
20,2016-07-31,0.09207414054266899,21938.65428297144,185.2275704349556,15485.29468683536,2696.696189883343,0.3500283038339054,8807.83379683155,579.4054700139113,6008.4135622474805,13765.638407796167,213
21,2016-08-03,0.09051895659919697,26271.793350327065,204.59086666499226,20224.176047767607,2920.572145177769,0.3367251201516534,10120.699031473343,573.5437567751077,8122.137265122467,14336.481381632593,216
22,2016-08-06,0.1196334562355157,25941.719876892457,195.33004935973455,20881.571757799982,4113.133821487772,0.39777773414888096,9408.322782586845,603.1683302910824,11365.346091811716,11563.106978458018,219
23,2016-08-09,0.10900583503471294,12031.873395705037,178.60150292976883,26514.31691432264,3661.304168519941,0.3892795762751301,5118.564891581601,592.7116324849595,16787.940899112567,12522.873898562604,222
24,2016-08-12,0.11856347606626635,14490.678644072337,199.87452829386314,34172.42399613913,4131.8049228920645,0.386085143782114,5953.505449570526,593.7516851658222,22112.09957319748,12811.38914986961,225
25,2016-08-15,0.11048588066317053,15338.078268335104,176.66017982598098,22640.23681048204,3802.781168524721,0.4022512233704089,6286.615701712834,589.6870267391556,9550.084441005289,11514.401186467963,228
26,2016-08-18,0.11152861685069647,15762.822264241271,178.75730743971386,16100.42007624366,3776.1461656215974,0.3827320971890825,6034.3730753843965,602.9474938543897,9608.21649655477,12534.420167602764,231
27,2016-08-21,0.13663824625924315,19896.275100081424,215.788550818332,19639.03147497284,4887.064583880321,0.3443273962758629,7619.631802940417,609.0506650945134,22390.496610044585,14002.886081179957,234
28,2016-08-24,0.16281999019641588,24074.85237355369,257.8120246394632,26811.143711896493,6087.80837578034,0.307511351241415,9208.9825593637,615.153836334637,36123.194085475305,15486.533981144688,237
