,Date,STDAlbedo,STDAlgae,STDDensity,STDDust,STDGrain,meanAlbedo,meanAlgae,meanDensity,meanDust,meanGrain,DOY
0,2016-06-01,0.13879521905095688,6687.7839854041285,75.68027244307103,17634.78022949718,2172.1527740951237,0.7841994850809559,431.71313510921175,780.1819504719493,4887.045642304175,3608.258119398839,153
1,2016-06-04,0.15647356000451948,8730.297797951867,101.60383867521593,24223.566512676607,2541.512671607827,0.8229713288603817,596.158040201958,775.2750698051103,8612.912460326252,3302.540510345813,156
2,2016-06-07,0.17573023301508087,11319.653696090976,130.07699715009616,32221.913727364863,2932.5209776714037,0.8565142368550032,795.6028924445874,770.1470193993811,12546.681092283745,3303.4427667609834,159
3,2016-06-10,0.12900664358760047,6085.5685378779735,50.18197301450253,20407.383590194222,3011.231415392655,0.6901072947075442,279.4645710320301,794.4182663444693,8602.099694678844,4247.431603557442,162
4,2016-06-13,0.14063298329276305,7220.462382494534,58.34292951781632,24376.569628118985,3267.4019651073627,0.7058956397306553,374.5547726803933,797.4981704843643,11435.17365143641,4048.53941944512,165
5,2016-06-16,0.15351564412077848,8509.731279277537,69.36608166807353,28880.485999193043,3499.064433891968,0.7211196362954039,479.5072133591192,800.5780746242647,14326.780836749387,3983.3587819152144,168
6,2016-06-19,0.16638661236230956,9893.266396926316,82.10662579482288,33704.2618053444,3732.1086366175928,0.7353540986262719,588.0313175218741,803.6579787641597,17249.825870822977,4038.761095339939,171
7,2016-06-22,0.13662416024589769,7539.238381907358,86.66053643992973,27180.16854292868,3832.456037120453,0.6265895233687009,535.7793604036948,784.0832245795903,12465.06415435157,5039.632184479489,174
8,2016-06-25,0.16428178885265726,7878.579227144928,112.44389581152815,21201.5242503716,4764.046364259493,0.5561304494595973,661.8454736792886,761.1170406172537,8836.913057334441,7754.30289782225,177
9,2016-06-28,0.11790966592762822,6487.157528693017,83.13976492448722,20483.524633112494,3492.5700575015508,0.5784628183774432,548.6581118532613,774.5208157964018,8292.123187210287,6054.789983791093,180
10,2016-07-01,0.12356247186361427,7218.724031591762,91.2017813914324,25298.657509836466,3745.749792102119,0.5904380015972496,671.2830355372932,780.0207880072342,12083.136305012322,5684.63780520933,183
11,2016-07-04,0.13156255839196962,8582.961370671435,105.07466766938968,31204.608567413143,4038.7531454615973,0.602294662113356,868.6963581677527,785.1774319466098,16229.456967839986,5414.1040666841245,186
12,2016-07-07,0.14087244808192906,10184.981640241756,122.30576193098184,37723.11055066221,4307.388988486126,0.6143092364161464,1085.5604202509464,790.3340758859848,20447.08507805674,5289.451516471576,189
13,2016-07-10,0.12431458433328235,9551.435996927205,118.25037734219765,33625.606776510875,4275.855405987794,0.5466531946971221,1216.8747479762767,761.6730333564287,17118.595803641543,7154.102502705934,192
14,2016-07-13,0.12293775023128632,11123.997813738804,123.98464904588323,34110.221540890896,4117.873963788526,0.5491725107141666,1665.514327160014,757.2928569502403,16335.885596417636,6809.169097478217,195
15,2016-07-16,0.13594298197795598,12490.463175350336,131.32607963423854,22908.408797950025,4777.9993472981205,0.5405703168052243,2083.2246379690873,770.958026961429,8620.659382477274,7224.9274589565075,198
16,2016-07-19,0.15916825851007382,16829.25000715353,170.96972074775874,30528.315559213457,4906.90091215185,0.5924809615627511,3379.2116965699897,813.3502274243593,11701.649541801984,6446.188569665428,201
17,2016-07-22,0.12336033703673438,21175.43828268619,193.111406622034,8988.761046832877,3848.38746526009,0.3629992471378304,4831.597550406211,622.2300803207172,2499.756278866965,13694.899831530158,204
18,2016-07-25,0.11699984781974172,14919.057804645294,145.78182765850968,13914.436969738435,3997.0903329934417,0.4500666774720817,3317.5656932920174,707.8876771768522,4757.60591829897,10538.012161309947,207
19,2016-07-28,0.11816180607217686,16717.23182030876,156.81060559195447,17682.116739324287,4242.611491812269,0.4375300234366013,3694.261304000136,706.2653672974797,7843.449151435815,11109.294807942451,210
20,2016-07-31,0.12028068943656076,18810.72824876669,170.7119940752364,22871.374319906427,4569.098225286381,0.42514738339285707,4138.574794731174,704.6430574181071,11142.540864134091,11682.01992146767,213
21,2016-08-03,0.12399877342131592,12793.707806390967,139.41523068747878,22609.630571464502,4017.2171940464723,0.4964185716154434,3155.4946534431,713.7608278996668,10550.154690822901,8446.136637149122,216
22,2016-08-06,0.1187318508367873,11475.046078196423,130.04392657186668,20770.787179317304,3827.586537590324,0.5037091130047158,2883.4058185816125,719.214662587466,10345.651032959404,8238.494128016766,219
23,2016-08-09,0.1146599212077887,10602.687999968915,121.3985934212822,19098.19325895308,3660.4680998684166,0.5105401138508742,2668.9658822230194,724.2722571825757,10157.098787242288,8039.271025896994,222
24,2016-08-12,0.11126579790992824,9762.0263770082,113.20185297765934,17640.035069021782,3514.578055345717,0.517371045198475,2454.525945864425,729.3298517776857,9968.546541525222,7840.04792377715,225
25,2016-08-15,0.10861318370307667,8961.985325746064,105.55825849718494,16453.423792283593,3392.6560824275707,0.5242019291448102,2240.0860095058297,734.3874463727952,9779.994295808136,7640.824821657305,228
26,2016-08-18,0.10675754041509078,8214.442087271475,98.5965402172638,15600.446708758596,3297.361956124876,0.5310328009050854,2025.6460731472366,739.4450409679064,9591.442050091046,7441.601719537534,231
27,2016-08-21,0.10574086409775264,7535.037655124991,92.47083288877428,15137.608341786345,3231.052558427077,0.5378636662567133,1811.206136788642,744.5026355630157,9402.889804373955,7242.378617417689,234
28,2016-08-24,0.10558741098771872,6943.801693303984,87.35718352800664,15100.82450987333,3195.532755345876,0.5446945291047698,1596.766200430047,749.5602301581255,9214.337558656856,7043.155515297841,237
