date,area1,area2,area3,area4,area5,area6
2017-06-04,1160.4068539873317,1160.405403837676,1148.74823081742,1171.1518828743126,1158.098505765795,1158.098505765795
2017-06-07,1158.614469013202,1156.9990022970371,1149.1386111046659,1169.4592681964778,1160.1150838766557,1160.1150838766557
2017-06-10,1156.949697208752,1153.9145339799068,1161.1127868396018,1195.4268080465904,1165.0000580059864,1165.0000580059864
2017-06-13,1166.9789322258057,1172.895542820019,1295.2533701477994,1652.5238404603356,1190.9470057309916,1190.9470057309916
2017-06-16,974.9095106615007,1001.0057767691358,918.9963647491668,1123.9918716368295,839.8617764380317,839.8617764380317
2017-06-19,849.7272621237211,866.4522692255354,884.789999517139,933.3424209378403,715.5079944790839,715.5079944790839
2017-06-22,831.1749096831118,822.3975065578119,1084.0185355777362,1114.182902594466,852.6161953967697,852.6161953967697
2017-06-25,902.051326832064,864.007395292924,1379.1784690558438,1512.239027932547,1133.4375194006502,1133.4375194006502
2017-06-28,981.5189008586767,914.5353124766804,1695.7274044735477,1981.9847516371806,1431.238292981025,1431.238292981025
2017-07-01,1061.5633992887526,966.5290566094529,2016.4770707039665,2481.9649198608104,1730.7079144621778,1730.7079144621778
2017-07-04,1142.0013977874955,1020.0889623701063,2341.798235740091,3006.0700912982875,2031.9655312752607,2031.9655312752607
2017-07-07,1222.487995896312,1073.907543474703,2667.9941937575527,3534.184730566896,2333.5280714483247,2333.5280714483247
2017-07-10,1381.2419144358403,1203.919339070387,3047.2005683959555,4083.797642511302,2675.8649006090945,2675.8649006090945
2017-07-13,1562.3579245269998,1355.7006245206667,3441.552776354626,4639.588191987899,3029.8515266234926,3029.8515266234926
2017-07-16,1743.4739346181602,1507.4819099709464,3835.9049843133,5195.390499434678,3383.838152637892,3383.838152637892
2017-07-19,1924.589944709321,1659.263195421227,4230.257192271971,5751.192806881454,3737.8247786522925,3737.8247786522925
2017-08-09,8788.275250005801,10500.533655073204,11343.772477319659,13046.477296456993,8552.802849254043,8552.802849254043
2017-08-12,8778.309821573586,10026.004083621428,10550.726234947446,11819.650687950994,7645.322397271397,7645.322397271397
2017-08-15,10791.46905960695,12414.615202814352,13126.08296779613,14710.01433064765,9350.946693534574,9350.946693534574
2017-08-18,12806.82092391935,14810.09304973697,15684.002603417646,17597.683230522027,11053.34199562607,11053.34199562607
2017-08-21,14823.013875031906,17206.16068955727,18242.881364981327,20485.375475194152,12755.820145878159,12755.820145878159
