date,area1,area2,area3,area4,area5,area6
2019-06-10,3316.869300911854,3167.463282210724,4448.983735121465,3198.371771966867,3206.7391354787815,3206.7391354787815
2019-06-13,2272.049770918743,1928.382909116221,3582.611400496531,2245.2115428271445,2623.924351493074,2623.924351493074
2019-06-16,2873.5404804758623,2358.317478363767,3498.80942713288,2344.6772565750252,2625.2370994686653,2625.2370994686653
2019-06-22,6470.204563531917,6717.618158193925,6544.842816667569,5490.3929196604195,4763.679100572068,4763.679100572068
2019-06-25,5862.746016691233,6103.791400161385,5960.333411963671,4804.476483084166,4382.82758558461,4382.82758558461
2019-06-28,5333.4363772277375,5675.319548532962,5483.122191543499,4186.90076593682,4051.8741089635996,4051.8741089635996
2019-07-01,4880.201879290004,5353.088883217192,5122.203305825606,3741.3530798600636,3818.953971605424,3818.953971605424
2019-07-04,4504.726349851413,5118.431144316316,4843.739929516281,3422.071535560249,3640.704476257505,3640.704476257505
2019-07-07,4159.005412652556,4916.293817077478,4587.220540048621,3132.6211809503175,3472.973399743741,3472.973399743741
2019-07-10,10858.53044319888,11864.7031087894,11011.870925079467,10097.091248388262,7652.087552578285,7652.087552578285
2019-07-13,10819.565750614036,12014.911681742698,11231.201088523761,9919.24240867372,7869.513048032272,7869.513048032272
2019-07-25,17759.04313325135,15253.008770505117,13865.652915380866,14206.515232371981,9748.648460521124,9748.648460521124
2019-07-28,17058.316318244044,14843.76522657138,13502.605918930834,13663.426065569967,9053.783150421124,9053.783150421124
2019-07-31,16369.456367897166,14435.416134945126,13158.634771108376,13124.461124388035,8363.211443420962,8363.211443420962
2019-08-03,23708.663484071556,18220.979605095246,16580.943003317945,17441.951959442216,13367.472273138588,13367.472273138588
2019-08-06,14770.531218821783,14875.112531613262,13977.875356736817,14910.383651592841,11356.780319728998,11356.780319728998
2019-08-09,13199.85962551335,12622.19251026706,11686.060001392145,12648.521427411311,9596.97440775888,9596.97440775888
2019-08-12,12326.739019466808,12401.874173414697,11458.53152045291,11908.96540522982,9397.526624747674,9397.526624747674
2019-08-15,14816.519814844893,14962.404870182601,13779.894835146988,14360.317234738624,11168.93228381169,11168.93228381169
2019-08-18,17308.945683194506,17523.164690596066,16101.83820970324,16811.703867839162,12940.465556045381,12940.465556045381
2019-08-21,19807.73770853152,20084.00426924058,18424.23838140096,19263.134005429358,14712.201849230838,14712.201849230838
2019-08-24,2372.4303348105523,2162.6516856539592,2174.963456228683,2104.254159029212,2312.1940184227014,2312.1940184227014
2019-08-27,3858.931163571081,3415.459991096081,3295.979532587763,3272.8287996821273,3052.813362839045,3052.813362839045
2019-08-30,5345.431992331609,4668.268296538203,4416.995608946844,4441.403440335042,3793.432707255389,3793.432707255389
